Page Number,Type,Text,Confidence Score % (Line)
1,LINE,om,98.49%
1,LINE,VNUHCM,99.93%
1,LINE,Technology,99.96%
1,LINE,n/luongthanh/,99.24%
1,LINE,Solution,99.95%
1,LINE,Dinh Nguyên,89.24%
1,LINE,DA + BA,97.95%
1,LINE,anhdnl22@uef.edu.,97.61%
1,LINE,University of Economics and,99.96%
1,LINE,Financial,99.96%
1,LINE,https://www.linkedin.com/i,77.13%
1,LINE,Lan Anh,99.56%
1,LINE,vn,99.52%
1,LINE,Finance,99.92%
1,LINE,Technology,99.96%
1,LINE,n/ddnlanh/,99.92%
1,LINE,Page 1 of 25,99.89%
2,LINE,VPBank®,77.44%
2,LINE,Content Outline,100.0%
2,LINE,Section,100.0%
2,LINE,Page No.,100.0%
2,LINE,Addition Resources,99.98%
2,LINE,3,99.52%
2,LINE,Solutions Introduction,99.98%
2,LINE,4,99.95%
2,LINE,Impact of Solution,99.97%
2,LINE,6,100.0%
2,LINE,Deep Dive into Solution,99.99%
2,LINE,11,99.97%
2,LINE,Architecture of Solution,99.98%
2,LINE,23,100.0%
2,LINE,Page 2 of 25,99.93%
3,LINE,VPBank®,82.03%
3,LINE,Addition Resources,99.98%
3,LINE,[1]. VPFlow - Figma prototype demonstratation video: https://youtu.be/hY JsGxNuel,98.57%
3,LINE,Highly recommend watch after read the Solutions Introduction section,99.97%
3,LINE,[2]. VPFlow - Figma: VPFlow Figma Link,97.97%
3,LINE,Page 3 of 25,99.59%
4,LINE,VPBank®,68.8%
4,LINE,Solutions Introduction,99.97%
4,LINE,What is VPFlow?,99.74%
4,LINE,"VPFlow is an Al-powered, centralized platform built to help banks - especially in complex operational",98.95%
4,LINE,"environments like VPBank - to comprehend, visualize, optimize, and continuously improve internal",99.18%
4,LINE,"workflows. Instead of static flowcharts and disconnected SOP files, VPFlow turns our internal processes",99.83%
4,LINE,"into interactive, intelligent diagrams, which we call Dynamic Swimlane diagram (footnote).",99.9%
4,LINE,"Powered by Generative AI, LLMs, Knowledge-augmented generation and AWS infrastructure,",99.01%
4,LINE,VPFlow bridges the gap between traditional operations and intelligent automation.,99.18%
4,LINE,What makes VPFlow different?,98.95%
4,LINE,From SOPs to diagrams: VPFlow auto-generates swimlane diagrams from unstructured,99.87%
4,LINE,"documents, SOPs, and process narratives using fine-tuned LLMs (e.g., Deekseek R1).",99.79%
4,LINE,Real-time interaction: Each diagram node is clickable and explorable. Users can ask questions,99.96%
4,LINE,about each step and receive natural language explanations via AI agent.,96.57%
4,LINE,Interactive agent tools that enable users to engage directly with workflows via an intuitive,99.97%
4,LINE,graphical user interface,99.97%
4,LINE,"Bottleneck detection & AI suggestions: System identifies pain points based on user feedback,",99.08%
4,LINE,"time metadata, and process logic. GenAl offers improvement recommendations instantly.",99.39%
4,LINE,"Knowledge-rich database: By integrating knowledge graphs with vector embeddings, the",99.96%
4,LINE,"platform constructs a dynamic, LLM-ready context layer - enabling deep understanding of each",99.28%
4,LINE,workflow component.,99.84%
4,LINE,"Powered by AWS: With AWS Textract, SageMaker, Lambda, Neptune and more, VPFlow",99.44%
4,LINE,"ensures enterprise-grade scalability, reliability, and cost-efficiency.",99.86%
4,LINE,"VPFlow offers a comprehensive experience for both new and experienced banking professionals,",99.71%
4,LINE,streamlining complex operational processes into accessible visual models.,99.97%
4,LINE,The platform leverages Large Language Models (LLMs) - such as a fine-tuned version of Deekseek,99.44%
4,LINE,R1 for diagram generation-and combines knowledge graphs with vector embeddings to build an LLM-,99.95%
4,LINE,"friendly, context-rich database.",99.91%
4,LINE,"Meanwhile, AWS services power the system's intelligence, scalability, and adaptability, making",99.89%
4,LINE,VPFlow a truly enterprise-grade solution for process intelligence.,99.58%
4,LINE,Our Mission: To provide a dynamic and interactive platform that makes the integration of Al,97.35%
4,LINE,"technologies-such as Large Language Models, knowledge graphs, and process mining-seamless and",99.94%
4,LINE,Page 4 of 25,99.85%
5,LINE,VPBank®,71.86%
5,LINE,"accessible for banks. VPFlow empowers institutions to transform static operational knowledge into living,",99.88%
5,LINE,"visual workflows that evolve through automation, collaboration, and continuous improvement.",99.85%
5,LINE,"Bankers: to navigate complex internal processes visually, ask questions in plain language, and",99.98%
5,LINE,propose improvements.,99.97%
5,LINE,"Experts/Process Owners: to receive user feedback, simulate changes, and continuously",99.96%
5,LINE,"optimize operations - faster, smarter, and with full visibility.",99.2%
5,LINE,Why AWS Services?,99.94%
5,LINE,AWS is not just infrastructure - it's the intelligence backbone of VPFlow,99.44%
5,LINE,"VPFlow leverages AWS not merely for hosting, but as a modular engine that powers the platform's",99.84%
5,LINE,"scalability, real-time capability, and enterprise readiness:",99.93%
5,LINE,"Serverless & real-time: AWS Lambda and EventBridge handle SOP ingestion, diagram",99.96%
5,LINE,"generation, and user interaction in real time - without infrastructure overhead.",99.18%
5,LINE,AI model orchestration: SageMaker and Bedrock power the extraction of workflows from,99.07%
5,LINE,"unstructured documents, bottleneck detection, and contextual responses using LLMs.",99.97%
5,LINE,Semantic workflow intelligence: Amazon Neptune fuses graph relationships and vector,99.97%
5,LINE,embeddings to enable business-aware search and logic validation across processes.,99.97%
5,LINE,"Continuous learning: User feedback feeds into SageMaker's reinforcement learning loop,",99.96%
5,LINE,allowing the system to adapt and improve optimization suggestions over time.,99.97%
5,LINE,"Secure and compliant: IAM, KMS, and CloudTrail ensure strict access control, encryption, and",99.83%
5,LINE,auditability - essential for financial-grade compliance.,98.92%
5,LINE,"Flexible integration: Services like S3, DynamoDB, and DataSync support hybrid deployments",99.96%
5,LINE,and easy integration with core banking systems.,99.98%
5,LINE,"In short, AWS allows VPFlow to scale intelligently, respond instantly, learn continuously, and comply",99.9%
5,LINE,rigorously - meeting both technical and regulatory demands of modern banks.,99.34%
5,LINE,"For Better Comprehend, please watch the demonstration:",99.94%
5,LINE,https://youtu.be/hY JsGxNuel,99.4%
5,LINE,Page 5 of 25,99.77%
6,LINE,VPBank®,68.77%
6,LINE,Impact of Solution,99.97%
6,LINE,How does our solution benefit the society / the target audience?,99.25%
6,LINE,"We are not merely building a tool - we are creating a ""second brain"" for the bank.",98.37%
6,LINE,1. Redefining Internal Operational Capabilities in Modern Banking,99.96%
6,LINE,"Our solution is not just a diagramming platform, but rather an Operating System for Workflow Intelligence",99.81%
6,LINE,"- a centralized system that enables banks to comprehend, monitor, optimize, and continuously automate",99.12%
6,LINE,"their internal processes. From a raw SOP file, the system automatically:",99.82%
6,LINE,"Extracts and visualizes the process in a swimlane format, identifying roles, conditions, and",99.65%
6,LINE,business flows.,99.98%
6,LINE,"Integrates Generative AI to analyze logic, detect bottlenecks, simulate what-if scenarios, and",96.75%
6,LINE,measure operational impacts.,99.88%
6,LINE,"Transforms each process step into a dynamic interaction point, where employees can click to",99.87%
6,LINE,"read, inquire, give feedback, or suggest improvements.",99.93%
6,LINE,"As a result, the entire operation becomes transparent, measurable, learnable, and continuously",99.85%
6,LINE,improvable - surpassing traditional Business Process Management (BPM) systems.,99.07%
6,LINE,2. High Practical Relevance: Addressing Real-World Bottlenecks Identified in the Field,99.94%
6,LINE,This solution was developed through extensive field interviews and direct observations at banks such as,99.97%
6,LINE,"ACB, VPBank, and Techcombank - where we identified pressing challenges such as:",99.18%
6,LINE,"Fragmented processes without metadata or version control, leading to time-consuming",99.94%
6,LINE,information retrieval.,99.84%
6,LINE,"Delays in CIC (Credit Information Center) approvals due to opaque, manual underwriting flows",99.92%
6,LINE,and logic errors.,99.96%
6,LINE,"Unsynchronized CRM data, resulting in misrouted or unprocessed requests.",99.96%
6,LINE,"Lack of a systematic feedback loop, rendering processes ""frozen"" and disconnected from",99.7%
6,LINE,operational reality.,99.96%
6,LINE,"Our system addresses these issues at the root by converting operational knowledge into live, queryable",99.96%
6,LINE,"data, eliminating dependence on static documents or manual meetings.",99.96%
6,LINE,3. Laying the Foundation for Al-Driven Digital Banking,99.38%
6,LINE,Our solution is not only designed for current operations but also serves as an infrastructure for the future,99.96%
6,LINE,"of digital banking, enabling:",99.93%
6,LINE,"Neo-banking capabilities, where each process step can self-analyze, flag anomalies, and support",99.84%
6,LINE,"FinTech onboarding, identity verification, and anti-fraud operations.",99.53%
6,LINE,"Live compliance monitoring systems, capable of real-time process control and auto-generating",99.93%
6,LINE,audit logs.,99.91%
6,LINE,"RPA 2.0, where repetitive tasks are automatically identified and proposed for automation without",99.8%
6,LINE,the need for coding.,99.97%
6,LINE,"The entire system is built on an AWS cloud-native stack, including:",99.92%
6,LINE,"Bedrock/SageMaker: for diagram generation, semantic analysis, and process-related Q&A.",99.85%
6,LINE,Neptune/DynamoDB: for storing workflow diagrams as analyzable graphs.,99.9%
6,LINE,Textract + S3: for parsing input SOP documents.,99.62%
6,LINE,Lambda + API Gateway: a flexible serverless architecture ensuring fast responses and high,99.72%
6,LINE,security.,99.91%
6,LINE,"This architecture ensures full scalability across the bank without disrupting existing systems, and",99.98%
6,LINE,"seamless integration with core internal platforms (CRM, DMS, Core Banking, eKYC, ticketing, etc.).",99.84%
6,LINE,Page 6 of 25,99.87%
7,LINE,VPBank®,69.16%
7,LINE,4. Social Impact - Enhancing Efficiency Across the Financial Sector,99.48%
7,LINE,"At the societal level, the system brings about:",99.96%
7,LINE,A more transparent and equitable work environment for bank employees.,99.17%
7,LINE,"Reduced processing time for customer services, especially in lending, identification, and account",99.9%
7,LINE,opening.,99.92%
7,LINE,A cost-efficient digital transformation platform for small and mid-sized banks in Vietnam.,98.92%
7,LINE,In summary: This is not merely a technical solution but a strategic enabler that supports the Vietnamese,99.9%
7,LINE,"banking sector in transitioning to an intelligent, adaptive, and continuously optimized operating model.",99.94%
7,LINE,Why our solution is a good solution? How is it better than existing solutions in the,99.35%
7,LINE,market / competitors?,94.43%
7,LINE,Because it goes beyond the limitations of current tools and lays the foundation for intelligent banking,99.97%
7,LINE,operations.,99.88%
7,LINE,1. Aligned with the Practical Needs of the Vietnamese Banking Sector,99.94%
7,LINE,"Based on field surveys and interviews with operational staff at major Vietnamese banks such as ACB,",99.94%
7,LINE,"Techcombank, and VPBank, our research identified several systemic challenges:",99.83%
7,LINE,"Business processes (SOPs, guidelines, forms) are scattered across departments, lacking",99.94%
7,LINE,"centralization and metadata, resulting in difficulties in retrieval and consistency maintenance.",99.86%
7,LINE,Employees have limited visibility into the relationships between process steps and lack intuitive,99.97%
7,LINE,tools to understand roles and workflows holistically.,99.95%
7,LINE,"Operational bottlenecks (e.g., delayed CIC checks, internal handovers, CRM input errors) are not",99.94%
7,LINE,systematically tracked or proactively flagged.,99.96%
7,LINE,Process updates and improvement proposals are typically manual and lack tools for simulation,99.97%
7,LINE,or performance assessment prior to implementation.,99.82%
7,LINE,"These issues cannot be effectively addressed using existing tools such as Microsoft Visio, Lucidchart, or",99.93%
7,LINE,"traditional BPMN systems, which mainly provide static diagramming capabilities and lack business logic",99.96%
7,LINE,comprehension or advanced analytical features.,99.84%
7,LINE,"2. Existing Tools are ""Isolated"" - Our Solution is an ""Ecosystem""",99.09%
7,LINE,"Most existing solutions in the market (Lucidchart, Visio, Signavio, etc.) are standalone diagramming tools",99.9%
7,LINE,designed primarily for presentation or static business flow design. They lack business context,99.98%
7,LINE,"understanding, real-time data integration, continuous improvement support, and adaptability to the",99.88%
7,LINE,complex banking environment.,99.8%
7,LINE,"In contrast, our solution:",99.94%
7,LINE,Understands the semantics of SOPs and disparate documents to auto-generate process,99.96%
7,LINE,diagrams.,99.92%
7,LINE,"Links process steps with real-time data, metadata, and business roles.",99.94%
7,LINE,"Enables users to interact, give feedback, and suggest improvements directly on the diagram",99.96%
7,LINE,interface.,99.72%
7,LINE,"Integrates seamlessly into existing bank ecosystems (CRM, Core Banking, eKYC, etc.).",99.89%
7,LINE,3. Core Technological and Functional Differentiation,99.93%
7,LINE,"Our solution leverages Generative AI (GenAl) to analyze SOPs, operational guidelines, and user",96.74%
7,LINE,feedback to:,99.9%
7,LINE,Auto-generate swimlane process diagrams instead of relying on manual diagramming.,99.78%
7,LINE,"Detect logical errors such as missing handlers, infinite loops, or ambiguous conditions.",99.95%
7,LINE,Page 7 of 25,99.9%
8,LINE,VPBank®,70.22%
8,LINE,"Recommend process improvements at bottlenecks using metadata such as time delays, wait",99.97%
8,LINE,"steps, or user feedback.",99.89%
8,LINE,"Simulate the impact of process changes (e.g., merging steps, changing handlers, altering",99.98%
8,LINE,approval conditions) before deployment.,99.93%
8,LINE,Incorporate frontline feedback into each process step to enable continuous process optimization.,99.94%
8,LINE,These features are not fully integrated or user-friendly in current market tools - especially under the,99.46%
8,LINE,decentralized operations and domain-specific requirements of the Vietnamese banking industry.,99.94%
8,LINE,"4. Positioned as a ""Smart Control Layer"" Spanning the Entire Organization",99.77%
8,LINE,"Rather than replacing existing systems, we introduce a new control layer that:",99.88%
8,LINE,"Empowers any employee to search, understand, and improve active processes.",99.94%
8,LINE,"Reuses operational data to auto-generate training materials, suggest automation, or flag process",99.93%
8,LINE,errors.,99.97%
8,LINE,"Converts the entire business workflow into a living graph, enabling leadership to visualize",99.9%
8,LINE,"bottlenecks, access controls, and illogical flows - all in real time.",99.17%
8,LINE,5. Comparative Assessment with Market Alternatives,99.93%
8,LINE,Microsoft Visio /,91.45%
8,LINE,Evaluation Criteria,99.89%
8,LINE,Lucidchart,99.99%
8,LINE,SAP Signavio / Bizagi,92.32%
8,LINE,Proposed Method,99.98%
8,LINE,Auto-generation of process,99.82%
8,LINE,"Yes,",99.97%
8,LINE,with,99.95%
8,LINE,advanced,99.99%
8,LINE,No,99.99%
8,LINE,diagrams from SOP text,99.97%
8,LINE,"Yes, using GenAl",98.52%
8,LINE,configuration,99.8%
8,LINE,Logic error detection in process,99.97%
8,LINE,"Yes,",99.97%
8,LINE,No,99.99%
8,LINE,No,99.91%
8,LINE,Al-powered,98.64%
8,LINE,flows,99.99%
8,LINE,warnings,99.99%
8,LINE,Improvement suggestions based,99.9%
8,LINE,No,99.99%
8,LINE,"Yes, using AI and staff",94.08%
8,LINE,on internal data,99.96%
8,LINE,Partial (via expert analysis),99.83%
8,LINE,feedback,99.97%
8,LINE,What-if simulation of process,99.96%
8,LINE,No,99.91%
8,LINE,"Yes, but complex and hard",99.98%
8,LINE,"Yes,",99.99%
8,LINE,simplified,99.96%
8,LINE,for,99.97%
8,LINE,changes,100.0%
8,LINE,to access,99.95%
8,LINE,business users,99.88%
8,LINE,Attachment of documents at,99.97%
8,LINE,"Manual only, not",99.97%
8,LINE,"Yes,",99.97%
8,LINE,with,99.97%
8,LINE,flexible,99.97%
8,LINE,standardized,99.97%
8,LINE,"Yes, in enterprise platforms",99.96%
8,LINE,each process step,99.99%
8,LINE,file/metadata linking,99.62%
8,LINE,Suitability for Vietnamese,99.9%
8,LINE,"Yes, but expensive and",99.98%
8,LINE,"Yes, field-tested and",99.92%
8,LINE,No,99.99%
8,LINE,banking operations,99.99%
8,LINE,complex to deploy,99.98%
8,LINE,lightweight,99.87%
8,LINE,6. Full Leverage of AWS Capabilities to Realize the Solution,99.97%
8,LINE,"We utilize AWS services not just for technical support, but as strategic components in our solution",99.97%
8,LINE,architecture:,99.89%
8,LINE,"Textract: Automatically reads and extracts logic with from original SOP documents, minimizing",99.96%
8,LINE,manual input.,99.87%
8,LINE,"Bedrock / SageMaker: Powers GenAl core functionalities such as diagram generation, logic",99.31%
8,LINE,"analysis, and conversational interfaces.",99.71%
8,LINE,DynamoDB / Neptune: Builds process graph structures for bottleneck detection and scenario,99.49%
8,LINE,simulation.,99.91%
8,LINE,Page 8 of 25,99.83%
9,LINE,VPBank®,71.52%
9,LINE,"Lambda + API Gateway: Implements a serverless architecture for cost efficiency, instant",99.67%
9,LINE,"scalability, and secure integration with internal systems.",99.95%
9,LINE,"We do not simply ""use AWS"" - we architect the solution around AWS's infrastructure strengths, enabling",98.46%
9,LINE,"performance, scalability, and ease of integration.",99.84%
9,LINE,Our solution's competitive advantage / unique selling point?,99.02%
9,LINE,"A ""living command center"" for banks - where processes are not only visualized, but also learned,",97.96%
9,LINE,"improved, and self-adaptive.",99.77%
9,LINE,"Our solution offers a unique combination of business process comprehension via GenAl, interactive",99.02%
9,LINE,"swimlane visualization, and continuous process optimization, specifically tailored to the operational",99.84%
9,LINE,"context of Vietnamese banks. While existing platforms (e.g., Lucidchart, Signavio, Camunda) primarily",99.86%
9,LINE,"focus on diagramming or high-level BPM modeling, our solution distinguishes itself in several critical",99.92%
9,LINE,areas:,99.97%
9,LINE,1. Auto-generation of Process Maps from Unstructured Text - No Drawing or Configuration,99.4%
9,LINE,Required,100.0%
9,LINE,"Current tools like Visio, Lucidchart, or Camunda require users to have domain knowledge and manually",99.94%
9,LINE,"draw process diagrams. This is time-consuming, not scalable across staff, and prone to inconsistencies.",99.9%
9,LINE,Our solution:,99.95%
9,LINE,"Takes input as SOPs, internal guidelines, or PDF documents.",99.93%
9,LINE,"Uses GenAl to automatically identify roles, flows, conditions, and related documentation.",99.57%
9,LINE,Generates interactive swimlane diagrams - transforming static documents into living data.,99.22%
9,LINE,This reduces process mapping time by up to 80% and democratizes process understanding for non-,99.96%
9,LINE,technical staff.,99.77%
9,LINE,2. Al-Powered Logic Analysis and Process Performance Optimization,98.8%
9,LINE,"Unlike current static diagrams, our system enables:",99.97%
9,LINE,"Clicking each step to view the responsible party, associated documents, and input/output",99.98%
9,LINE,conditions.,99.92%
9,LINE,Interacting at each process point - users can access documents or directly ask questions via AI,97.49%
9,LINE,assistant.,99.75%
9,LINE,Capturing in-process feedback from frontline staff - no more scattered suggestions lost in email,99.34%
9,LINE,threads.,99.63%
9,LINE,"As a result, the process map becomes a smart operational blueprint that can learn and self-improve over",99.91%
9,LINE,time.,100.0%
9,LINE,3. Step-Level Feedback Integration and Logic-Driven Optimization,99.92%
9,LINE,"We train GenAl not just to read SOPs, but to understand business logic, enabling:",99.76%
9,LINE,"Logic validation - detecting design flaws (e.g., missing handlers, infinite loops).",99.16%
9,LINE,"Bottleneck detection based on metadata, time duration, and user interactions.",99.89%
9,LINE,"Improvement suggestions such as step merging, role consolidation, or automation opportunities.",99.88%
9,LINE,"This promotes continuous, practical, and staff-driven process optimization.",99.89%
9,LINE,4. What-if Simulation - Model Process Changes Before Deployment,98.96%
9,LINE,We integrate simulation capabilities to:,99.96%
9,LINE,Page 9 of 25,99.86%
10,LINE,VPBank®,68.96%
10,LINE,Merge steps,99.99%
10,LINE,quantify time savings.,99.84%
10,LINE,Remove approval layers assess associated risk increases.,99.95%
10,LINE,Shift tasks to RPA,99.97%
10,LINE,estimate ROI of automation.,99.89%
10,LINE,"Each change is quantified and validated before implementation, enabling data-driven decisions rather",99.95%
10,LINE,than intuition-based ones.,99.87%
10,LINE,5. Built for Banking - Scalable to Any Process-Driven Organization,99.59%
10,LINE,"Our features are designed specifically for banking use cases, including:",99.98%
10,LINE,Credit underwriting,100.0%
10,LINE,eKYC and CRM workflows,99.83%
10,LINE,Customer complaints and account opening,99.99%
10,LINE,"However, the platform is fully extensible to:",99.98%
10,LINE,"Insurance (claims, verification)",99.62%
10,LINE,"FinTech (onboarding, fraud detection)",99.45%
10,LINE,"Large enterprises (HR workflows, internal control)",99.87%
10,LINE,"This is more than a product - it's a ""process graph + GenAl + feedback loop"" platform for any organization",99.03%
10,LINE,"seeking efficient, transparent, and adaptive operations.",99.89%
10,LINE,"In summary: Our solution is not merely a process visualization tool - it is an intelligent, banking-",99.44%
10,LINE,"specialized platform that connects operations, compliance, and technology into a cohesive ecosystem",99.74%
10,LINE,"that is easy to deploy, scalable across",99.97%
10,LINE,Page 10 of 25,99.94%
11,LINE,VPBank®,69.17%
11,LINE,Deep Dive into Solution,99.99%
11,LINE,Agent toolkit,99.89%
11,LINE,"(Chatbot, Node V&A,",99.86%
11,LINE,Dynamic Swimlane,99.95%
11,LINE,"Suggestion, etc.)",99.9%
11,LINE,Call,99.85%
11,LINE,Render,99.76%
11,LINE,Sematic search,99.95%
11,LINE,Workflow Reposity,99.93%
11,LINE,(search for availle workflows),99.89%
11,LINE,Database,100.0%
11,LINE,Modified Textract,99.89%
11,LINE,Document Store,99.95%
11,LINE,Save,99.99%
11,LINE,Link,99.65%
11,LINE,Database,100.0%
11,LINE,[=],81.88%
11,LINE,Detection & Highlight,99.89%
11,LINE,Document or,99.91%
11,LINE,Banker,99.99%
11,LINE,Upload Parse,96.85%
11,LINE,Extract,99.72%
11,LINE,WorkflowJSON,99.84%
11,LINE,Description,100.0%
11,LINE,Pain Points,99.94%
11,LINE,Inherit,99.63%
11,LINE,Crowd-vote for fine-tuning LLM,99.9%
11,LINE,Expert,99.96%
11,LINE,Write,99.62%
11,LINE,Feedback,99.99%
11,LINE,Store,99.42%
11,LINE,Feedback Database,99.97%
11,LINE,Image 1: VPFlow - High Level Data Flow Diagram,98.33%
11,LINE,EPIC 1 - Workflow Management,92.2%
11,LINE,"This EPIC aims to provide bankers with the ability to upload, extract, and manage workflow processes",99.98%
11,LINE,"from multiple document formats (e.g., SOPs, DOCX, PDF), while supporting version control over time.",99.95%
11,LINE,"Additionally, it enables advanced multilingual search to retrieve workflows based on keywords or",99.97%
11,LINE,business context.,99.98%
11,LINE,1.1 Upload / Search Workflow,97.22%
11,LINE,Purpose: Users can upload a new workflow document or search existing workflows using business-,99.94%
11,LINE,related keywords in natural language across multiple languages.,99.96%
11,LINE,"Key Capabilities: Supports semantic keyword search using vector embeddings (e.g., pgvector,",99.97%
11,LINE,"FAISS), allowing for free-text input with multilingual normalization, including diacritic removal, slang",99.84%
11,LINE,Page 11 of 25,99.95%
12,LINE,VPBank®,71.58%
12,LINE,"correction, and typo tolerance. Each workflow stores rich metadata, such as process title, actors,",99.93%
12,LINE,"department, frequency, and objective. Results can be filtered by tags like department, role, or last",99.97%
12,LINE,modified date.,100.0%
12,LINE,Architecture:,99.93%
12,LINE,"Text is embedded using a multilingual language model (BGE-M3), if Vietnamese detected",99.85%
12,LINE,ViDense will be used for State-of-the-art performance.,99.91%
12,LINE,Indexing engine supports both full-text and semantic queries.,99.97%
12,LINE,"Optional tag-based filtering by department, role, or last modified date.",99.97%
12,LINE,"Output: Delivers a ranked list of relevant workflows, with options to preview summaries or open full",99.92%
12,LINE,visualizations (linked to EPIC 2.1).,98.48%
12,LINE,1.2 Parse SOP / PDF / DOCX,91.29%
12,LINE,"Purpose: Users can upload standard operating procedure documents in unstructured formats (PDF,",99.98%
12,LINE,"DOCX, etc.), and the system will automatically extract a structured JSON representation of the workflow,",99.91%
12,LINE,"including: Steps, Actors, Dependencies, Conditional logic (if/else, approval, exception handling)",99.91%
12,LINE,Key Capabilities:,99.92%
12,LINE,The parsing process leverages a multi-stage GenAl pipeline that includes:,99.39%
12,LINE,"OCR for scanned documents,",99.98%
12,LINE,"Layout-aware parsing to detect tables, forms, or flows,",99.97%
12,LINE,"And LLM-based entity extraction to identify multilingual elements such as steps, actors,",99.96%
12,LINE,"conditions, and references.",99.9%
12,LINE,"The final output is a visualization-compatible JSON, ready for confirmation and editing before",99.88%
12,LINE,rendering.,99.83%
12,LINE,Architecture:,99.93%
12,LINE,Document Preprocessing,99.96%
12,LINE,Chunking,100.0%
12,LINE,Prompt-based multilingual extraction,99.96%
12,LINE,Post-,99.89%
12,LINE,processing,100.0%
12,LINE,JSON schema validation.,99.93%
12,LINE,"Uses prompt templates trained on domain-specific language (e.g., enterprise SOPs, regulatory",99.95%
12,LINE,documents across supported languages).,99.94%
12,LINE,"Output: A structured, editable JSON file representing the workflow, with the option to review and",99.01%
12,LINE,confirm before visualization.,99.89%
12,LINE,1.3 Version Control & History,99.75%
12,LINE,Page 12 of 25,99.91%
13,LINE,VPBank®,71.99%
13,LINE,"Purpose: Enables comprehensive version management for workflows-users can track changes,",99.68%
13,LINE,"restore previous versions, or compare edits over time with full traceability.",99.94%
13,LINE,"Key Capabilities: Each workflow change auto-generates a version ID, and a Git-like diff engine",99.19%
13,LINE,"highlights differences in diagram structure. Annotations can include who made changes, when, and why",99.97%
13,LINE,(if enabled via comments).,99.9%
13,LINE,Architecture:,99.93%
13,LINE,Workflows stored in JSON format with hashed version IDs.,99.93%
13,LINE,Delta storage or full snapshot depending on change granularity.,99.98%
13,LINE,Timeline UI to navigate and visualize previous versions.,99.9%
13,LINE,"Output: An intuitive version timeline panel, with tools to compare, revert, or audit changes,",99.96%
13,LINE,supporting full accountability and rollback functionality.,99.9%
13,LINE,EPIC 2 - Workflow Visualization,92.6%
13,LINE,"This EPIC provides an interactive, user-friendly interface to visualize, interact with, and analyze business",99.92%
13,LINE,"workflows. The focus is on clarity (via swimlanes), interactivity (node insights), and optimization (pain",99.89%
13,LINE,point detection).,99.8%
13,LINE,2.1 Interactive Diagram (Swimlane),99.83%
13,LINE,"Purpose: Renders each workflow as an interactive swimlane diagram, organizing tasks by actors/roles",99.97%
13,LINE,"(e.g., customer, staff, supervisor).",99.9%
13,LINE,"Key Capabilities: Diagram engine (e.g., Mermaid.js, D3.js, or custom Canvas) supports:",99.82%
13,LINE,Lane separation by actor,99.99%
13,LINE,Sequential and parallel flows,99.98%
13,LINE,Gateways (if/else),99.95%
