Page Number,Type,Text,Confidence Score % (Line)
3,LINE,KY MÃU CHÛ KY SÜ DUNG TÀI KHOAN,72.83%
3,LINE,3.1,99.97%
3,LINE,DAI DIEN THEO PHÁP LUÂT:,91.12%
3,LINE,-,90.61%
3,LINE,Thông tin và mãu chû ký theo dăng ký nêu trên; và thuc hiên day du quyên cua Chu tài khoån,82.5%
3,LINE,3.2 DAI DIEN THEO UY QUYÊN THÚ NHÂT:,87.58%
3,LINE,Là Giám dôc/Truong Chi nhánh/Văn phòng dai diên:,81.29%
3,LINE,-,90.9%
3,LINE,Thông tin và mau chû ký theo dăng ký nêu trên; và,88.94%
3,LINE,- Thuc hiên day du quyên cua Chu tài khoån,74.24%
3,LINE,-,91.02%
3,LINE,"Pham vi dai diên, Thòi han úy quyèn:",86.71%
3,LINE,Chúng tôi lua chon phurong thúc uy quyên sô,89.01%
3,LINE,duói dây:,86.66%
3,LINE,"1. Theo uy quyên nhu nêu tai muc VIII, Giay dê nghi này.",91.14%
3,LINE,2. Theo Văn bån uy quyên sô,84.63%
3,LINE,ngày,90.98%
3,LINE,cúa,64.97%
3,LINE,3.3 DAI DIEN THEO ÜY QUYÈN THÚ HAI,86.74%
3,LINE,MÃU CHŪ KY 1,66.93%
3,LINE,MÃU CHŪ KY 2,69.62%
3,LINE,H₀ và tên:,87.1%
3,LINE,Ngày sinh:,98.81%
3,LINE,Nam,99.93%
3,LINE,Nû,60.57%
3,LINE,Nghê nghiep:,80.16%
3,LINE,Chúc vu:,87.24%
3,LINE,Quoc tich:,84.29%
3,LINE,Sô CMND/HC/Thé CCCD:,90.83%
3,LINE,Ngày cap:,82.2%
3,LINE,Noi cap:,75.27%
3,LINE,Mã sô thuê:,79.05%
3,LINE,Diên thoai:,86.28%
3,LINE,Email:,99.95%
3,LINE,Dia chi thuong trú/cu trú O nuóc ngoài:,84.53%
3,LINE,Noi Ó hiên tai/ dang ký cu trú tai VN:,86.58%
3,LINE,Tình trang cu trú:,89.55%
3,LINE,Cu trú,98.25%
3,LINE,Không cu trú,92.94%
3,LINE,Sô thi thuc:,95.87%
3,LINE,Noi câp:,93.42%
3,LINE,Ngày hêt han:,97.41%
3,LINE,"Pham vi dai diên, thòi han úy quyên cúa Chu tài khoån:",85.21%
3,LINE,Chúng tôi lua chon phuong thúc uy quyên sô,90.7%
3,LINE,duói dây:,81.21%
3,LINE,"1. Theo uy quyên nhu nêu tai muc VIII, Giay dê nghi này.",92.17%
3,LINE,2. Theo Văn bån uy quyên sô,89.69%
3,LINE,ngày,89.91%
3,LINE,cua,68.75%
3,LINE,3.4 DAI DIÊN THEO UY QUYÈN THÚ BA,85.89%
3,LINE,MÃU CHŪ KÝ 1,72.29%
3,LINE,MÃU CHŪ KÝ 2,70.3%
3,LINE,H₀ và tên:,85.92%
3,LINE,Ngày sinh:,97.72%
3,LINE,Nam,99.85%
3,LINE,Nû,67.75%
3,LINE,Nghê nghiep:,86.21%
3,LINE,Chúc vu:,91.76%
3,LINE,Quoc tich:,83.18%
3,LINE,Sô CMND/HC/Thé CCCD:,86.82%
3,LINE,MB01D.QD-GDTC/62,85.09%
3,LINE,3,99.1%
4,LINE,Ngày câp:,94.14%
4,LINE,Noi câp:,96.15%
4,LINE,Mã sô thuê:,95.82%
4,LINE,Diên thoai:,84.81%
4,LINE,Email:,99.91%
4,LINE,Dia chi thuong trú/cu trú Ò nuóc ngoài:,85.68%
4,LINE,Noi Ó hiên tai/ dăng ký cu trú tai VN:,85.53%
4,LINE,Tinh trang cu trú:,97.35%
4,LINE,Cu trú,99.01%
4,LINE,Không cu trú,95.67%
4,LINE,Sô thi thuc:,77.81%
4,LINE,Noi cap:,80.5%
4,LINE,Ngày hêt han:,96.07%
4,LINE,"Pham vi dai diên, thòi han uy quyên cúa Chú tài khoån:",84.57%
4,LINE,Chúng tôi lua chon phuong thúc uy quyên sô,89.04%
4,LINE,duói dây:,84.14%
4,LINE,"1. Theo uy quyên nhu nêu tai muc VIII, Giay dê nghi này.",90.81%
4,LINE,2. Theo Văn bån uy quyên sô,85.19%
4,LINE,ngày,88.13%
4,LINE,cúa,58.2%
4,LINE,"III. THÔNG TIN KÉ TOÁN TRUONG/ PHU TRÁCH KÉ TOÁN, NGU'ÒI DUOC UY QUYÈN CÚA",79.95%
4,LINE,KÉ TOÁN TRUÖNG/PHY TRÁCH KÉ TOÁN VÀ ĐĂNG KÝ MÃU CHŪ KÝ SÚ DUNG TÀI,79.0%
4,LINE,KHOAN THANH TOÁN*,80.56%
4,LINE,"Luu y: Thông tin sô thi thuc nhâp cånh, ngày hêt han, noi cap; Dia chi cu' trú tai nuóc ngoài áp dung dói vói Nguòi",89.17%
4,LINE,nuóc ngoài/ Nguòi không quoc tich/ Nguòi có tù 2 quoc tich tró lên.,87.23%
4,LINE,NHÓM CHŪ KY THÚ HAI,76.26%
4,LINE,1. KÉ TOÁN TRUÖNG/PHY TRÁCH KÉ TOÁN,86.19%
4,LINE,MÃU CHŪ KY 1,71.34%
4,LINE,MÃU CHŪ KÝ 2,66.5%
4,LINE,Ho và tên:,82.11%
4,LINE,Ngày sinh:,97.51%
4,LINE,Nam,99.93%
4,LINE,Nû,66.64%
4,LINE,Nghê nghiep:,83.0%
4,LINE,Chúc vu:,80.51%
4,LINE,Quoc tich:,77.06%
4,LINE,Sô CMND/HC/Thé CCCD:,80.62%
4,LINE,Ngày cap:,81.85%
4,LINE,Noi cap:,82.88%
4,LINE,Mã sô thuê:,91.93%
4,LINE,Diên thoai:,84.34%
4,LINE,Email:,99.95%
4,LINE,Dia chi thuong trú/cu trú O nuóc ngoài:,83.66%
4,LINE,Noi O hiên tai/ dăng ký cu trú tai VN:,84.84%
4,LINE,Tinh trang cu trú:,95.02%
4,LINE,Cu trú,98.36%
4,LINE,Không cu trú,93.16%
4,LINE,Sô thi thuc:,95.74%
4,LINE,Noi cap:,78.63%
4,LINE,Ngày hêt han:,96.37%
4,LINE,2. NGU'ÒI DUOC UY QUYÈN THÚ NHAT,72.0%
4,LINE,MAU CHŪ KÝ 1,67.11%
4,LINE,MAU CHŪ KÝ 2,69.71%
4,LINE,Ho và tên:,84.86%
4,LINE,Ngày sinh:,98.49%
4,LINE,Nam,99.93%
4,LINE,Nû,60.25%
4,LINE,Nghê nghiep:,83.99%
4,LINE,Chúc vu:,81.45%
4,LINE,Quôc tich:,83.39%
4,LINE,Sô CMND/HC/Thé CCCD:,70.03%
4,LINE,Ngày cap:,78.8%
4,LINE,Noi cap:,81.93%
4,LINE,Mã sô thuê:,87.72%
4,LINE,Diên thoai:,89.7%
4,LINE,Email:,99.88%
4,LINE,Dia chi thuong trú/cu trú Ó nuóc ngoài:,82.84%
4,LINE,Noi O hiên tai/ dăng ký cu trú tai VN:,84.0%
4,LINE,Tinh trang cu trú:,89.61%
4,LINE,Cu trú,98.27%
4,LINE,Không cu trú,92.7%
4,LINE,Sô thi thuc:,86.67%
4,LINE,Noi cap:,87.08%
4,LINE,Ngày hêt han:,94.61%
4,LINE,"Pham vi dai diên, thòi han úy quyên cúa Kê toán truông/Phu trách kê toán:",87.54%
4,LINE,Chúng tôi lua chon phuong thúc uy quyên sô,89.87%
4,LINE,duói dây:,88.9%
4,LINE,"1. Theo uy quyên nhu nêu tai muc VIII, Giay dè nghi này.",88.59%
4,LINE,2. Theo Văn bån uy quyên sô,83.76%
4,LINE,ngày,88.83%
4,LINE,cúa,56.75%
4,LINE,3. NGU'ÒI DUQ'C UY QUYÈN THÚ HAI,75.83%
4,LINE,MÃU CHŪ KY 1,71.2%
4,LINE,MÃU CHŪ KÝ 2,68.2%
4,LINE,H₀ và tên:,83.85%
4,LINE,Ngày sinh:,97.77%
4,LINE,Nam/Nūr:,52.2%
4,LINE,MB01D.QD-GDTC/62,67.0%
4,LINE,4,98.79%
5,LINE,Nghê nghiep:,79.9%
5,LINE,Chúc vu:,86.02%
5,LINE,Quôc tich:,83.74%
5,LINE,Sô CMND/HC/Thé CCCD:,81.7%
5,LINE,Ngày câp:,93.62%
5,LINE,Noi cap:,81.71%
5,LINE,Mã sô thuê:,93.6%
5,LINE,Diên thoai:,84.72%
5,LINE,Email:,99.91%
5,LINE,Dia chi thuong trú/cu trú Ó nuóc ngoài:,84.99%
5,LINE,Noi Ó hiên tai/ dăng ký cu trú tai VN:,84.76%
5,LINE,Tinh trang cu trú:,94.71%
5,LINE,Cu trú,98.78%
5,LINE,Không cu trú,96.24%
5,LINE,Sô thi thuc:,87.07%
5,LINE,Noi cap:,84.93%
5,LINE,Ngày hêt han:,95.52%
5,LINE,"Pham vi dai diên, thòi han úy quyên cúa Ké toán truông/Phu trách kê toán:",86.64%
5,LINE,Chúng tôi lua chon phuong thúc uy quyên sô,89.24%
5,LINE,duói dây:,83.22%
5,LINE,"1. Theo uy quyên nhu nêu tai muc VIII, Giay dê nghi này.",89.78%
5,LINE,2. Theo Văn bån uy quyên sô,86.89%
5,LINE,ngày,88.55%
5,LINE,cúa,62.25%
5,LINE,"IV. ĐĂNG KÝ MÃU DÁU VÀ NGUYÊN TAC SÚ DUNG MÃU DÁU, MÃU CHŪ KÝ SÚ DUNG TÀI",75.78%
5,LINE,KHOAN THANH TOÁN*,84.64%
5,LINE,Nguyên tăc sú dung mâu dâu và mâu chû ký,78.56%
5,LINE,Đăng ký mâu dâu,62.59%
5,LINE,Đāng ký mâu dau,62.99%
5,LINE,Chúng tù giao dich tài khoån cúa Chúng tôi chi có hiêu luc khi,91.56%
5,LINE,duoc dóng dâu (theo dăng ký tai muc này) và thoa mãn môt trong,92.11%
5,LINE,các diêu kiên duói dây:,84.02%
5,LINE,Có it nhât môt chû ký thuôc Nhóm chû ký thú nhât cúa Chu tài,85.78%
5,LINE,khoån (trong truong hop tô chúc không băt buôc phái bô trí Kê,84.21%
5,LINE,toán truong/Phu trách kê toán theo quy dinh cúa pháp luât);,91.78%
5,LINE,hoãc,80.14%
5,LINE,Có it nhât môt chu ký thuôc Nhóm chû ký thú nhât cúa Chu tài,85.38%
5,LINE,khoån và môt chû ký thuôc Nhóm chû ký thú hai cúa Kê toán,88.43%
5,LINE,truong/Phu trách kê toán/Nguòi duoc uy quyên boi Kê toán,88.45%
5,LINE,truong/Phu trách kê toán; hoãc,85.29%
5,LINE,Quy dinh khác (vui lòng ghi rõ):,97.86%
5,LINE,"V. ĐĂNG KÝ TÊN TÀI KHOÅN, LOAI TÀI KHOÅN*",80.89%
5,LINE,1. Đang ký tên Tài khoån:,83.4%
5,LINE,2. Đăng ký loai tài khoån cúa Khách hàng:,86.21%
5,LINE,Loai tài khoån yêu câu,86.86%
5,LINE,VND,99.99%
5,LINE,USD,100.0%
5,LINE,EUR,99.96%
5,LINE,Khác:,99.44%
5,LINE,Tài khoån thanh toán:,95.86%
5,LINE,Khác (xin nêu rõ):,94.84%
5,LINE,VI. ĐĂNG KÝ DICH VU TÀI KHOÅN*,85.35%
5,LINE,1. Đăng ký Dich vu nhân Sô phu tài khoån và Hóa don:,92.9%
5,LINE,Có,99.28%
5,LINE,Không,94.54%
5,LINE,Tân suât nhân sô phu tài khoån/hóa don,81.07%
5,LINE,Hàng ngày,85.43%
5,LINE,Hàng tuân,73.56%
5,LINE,Hang tháng,71.28%
5,LINE,Khác,99.81%
5,LINE,Đāng ký xuât gôp hóa don:,81.17%
5,LINE,Có,99.31%
5,LINE,Không,85.24%
5,LINE,Luu y: Yêu câu xuât gôp hóa don chi có thê thuc hiên dôi vói các giao dich tai cùng môt chi nhánh,90.21%
5,LINE,vói cùng mã sô thuê và trong cùng môt tháng.,95.03%
5,LINE,Hình thúc nhân sô phu tài khoan:,88.13%
5,LINE,Truc tiép tai VPBank⁸:,79.79%
5,LINE,"Qua buu diên, dia chi nhân:",88.68%
5,LINE,"Qua thu diên tir, dia chi email:",91.32%
5,LINE,"Qua fax, sô fax:",94.22%
5,LINE,8 Huóng dan Khách hàng diên thông tin Dia diêm giao dich cúa VPBank noi khách hàng muôn dên nhân sô phu/ hóa don,83.96%
5,LINE,MB01D.QD-GDTC/62,68.18%
5,LINE,5,99.1%
6,LINE,"Qua Nguòi giao nhân hô SO theo dăng ký tai Muc IX, Giay dê nghi này.",87.43%
6,LINE,Dia chi email nhân hóa don:,97.25%
6,LINE,2. Đāng ký Dich vu SMS Banking:,91.12%
6,LINE,Có,99.31%
6,LINE,Không,90.42%
6,LINE,Sô diên thoai di dông dăng ký:,84.87%
6,LINE,ĐTDĐ 1:,80.91%
6,LINE,DTDD 2:,75.97%
6,LINE,ĐTDĐ 3:,73.79%
6,LINE,Tài khoån thu phí:,93.0%
6,LINE,Sô tài khoån:,85.57%
6,LINE,hoãc bât ky môt trong các sô tài khoån có dăng ký su dung,87.68%
6,LINE,Dich vu SMS Banking,99.77%
6,LINE,Tât cå các sô tài khoån có dăng ký sú dung Dich vu SMS Banking.,85.59%
6,LINE,VII. THÔNG TIN FATCA VÀ THÔNG TIN CHU SÕ HÜU HUÖNG LOI CÚA KHÁCH HÀNG*,76.36%
6,LINE,THONG TIN FATCA,99.19%
6,LINE,1,98.64%
6,LINE,Quý Khách hàng có phài là doanh nghiep/ tô chúc duoc thành lâp tai Hoa Ky I hoat dông theo luât Hoa Ky,87.2%
6,LINE,hay bât ky bang nào cúa Hoa Ký? I có dia chi tai Hoa Ký?,87.51%
6,LINE,Có.,99.6%
6,LINE,1. Mã sô thuê Hoa Ký cúa tô chúc¹⁰ (Mã sô TIN):,89.72%
6,LINE,Khách,99.31%
6,LINE,"2. Nêu tô chúc thuôc diên dôi tuong duoc miên trù báo cáo FATCA, vui lòng cung câp Mã sô miên",89.5%
6,LINE,hàng vui,87.76%
6,LINE,trù báo cáo FATCA duoc câp boi chính phu Hoa Ky.,85.07%
6,LINE,lòng,97.86%
6,LINE,Exemption code¹¹:,97.53%
6,LINE,cung câp:,77.02%
6,LINE,Doanh nghiep/ tô chúc phi tài chính nuóc ngoài (ngoài Hoa Ký) chu dông¹².,89.17%
6,LINE,Không.,98.46%
6,LINE,Doanh nghiep/ tô chúc phi tài chính nuóc ngoài (ngoài Hoa Ky) bi dông và:,91.22%
6,LINE,Khách,99.09%
6,LINE,Không có Cá nhân có quyên kiêm soát hoãc có Cá nhân có quyên kiêm soát không phài là,91.25%
6,LINE,hàng là:,86.71%
6,LINE,nguòi Hoa Ky.,81.74%
6,LINE,"Có Cá nhân có quyên kiêm soát là nguòi Hoa Ký, vui lòng cung cap:",87.99%
6,LINE,Sô,94.71%
6,LINE,Tên,98.97%
6,LINE,Dia chi,93.17%
6,LINE,Mã sô TIN,96.24%
6,LINE,1.,99.87%
6,LINE,2.,99.96%
6,LINE,3.,99.89%
6,LINE,"Tô chúc tài chính, vui lòng cung câp thông tin theo Mâu biêu W-8BEN-E",96.86%
6,LINE,"Không thuôc môt trong các truong hop trên dây, vui lòng diên và cung câp thông tin theo Mâu",94.87%
6,LINE,biêu W-8BEN-E W-8IMY W-8ECI | W-8EXP phù hop do IRS ban hành.,93.16%
6,LINE,2,99.17%
6,LINE,THÔNG TIN CHU SO HÜU HUÖNG LOI CUÓI CÙNG: Cá nhân so hûru thuc tê dôi vói 1 tài khoån,73.66%
6,LINE,"hoãc 1 giao dich (1a) chu tài khoån (1b) dong chu tài khoån hoãc (1c) cá nhân khác chi phói hoat dông, thu",87.32%
6,LINE,huong cúa tài khoan hoãc thu huong tù giao dich dó; Cá nhân có quyên chi phói pháp nhân: (2a) Cá nhân,92.18%
6,LINE,nám giû truc tiép hoãc gián tiép tù 25% trô lên vôn diêu lê cua Khách hàng; (2b) chu doanh nghiep tu nhân¹³;,82.05%
6,LINE,"(2c) cá nhân khác thuc té chi phói, kiêm soát hoat dông cúa Khách hàng; Cá nhân có quyên chi phói môt йу",87.98%
6,LINE,"thác dàu tu, thoa thuân uy quyèn: (3a) cá nhân uy thác, uy quyên cho Khách hàng; (3b) Cá nhân có quyên",84.6%
6,LINE,"chi phói cá nhân uy thác/uy quyên cho Khách hàng, (3c) cá nhân có quyên chi phói pháp nhân/to chúc uy thác,",86.72%
6,LINE,uy quyên cho Khách hàng.,86.35%
6,LINE,9,94.91%
6,LINE,Khách hàng lân dâu thiét lâp quan hê vói VPBank hoãc có thay dôi các thông tin tuong úng dã cung câp cho VPBank thì,89.46%
6,LINE,cung câp bô sung các thông tin tai muc này.,94.11%
6,LINE,10 TIN gôm 9 ký tu sô,86.95%
6,LINE,11,97.31%
6,LINE,"Dê tham khåo thông tin vê Mã sô miên trù báo cáo FATCA, vui lòng xem bån Diêu kien- Diêu kiên vê tuân thu dao luât",85.73%
6,LINE,FATCA dành cho Khách hàng tô chúc duoc dăng tai trên website cúa VPBank,88.35%
6,LINE,12 Tham khåo bång tiêu chí xác dinh Doanh nghiep/ tô chúc phi tài chính nuóc ngoài (ngoài Hoa Ky) chu dông do VPBank,91.81%
6,LINE,cung câp.,76.32%
6,LINE,13 Áp dung trong truong hop Khách hàng là chu doanh nghiep tu nhân.,89.26%
6,LINE,MB01D.QD-GDTC/62,79.01%
6,LINE,6,99.41%
7,LINE,H₀ tên,90.91%
7,LINE,Loai,99.93%
7,LINE,dôi,53.84%
7,LINE,Dôi,55.03%
7,LINE,turong,96.5%
7,LINE,turong,96.07%
7,LINE,"(1a,",92.98%
7,LINE,huong,63.0%
7,LINE,"ab,..)",96.63%
7,LINE,loi,79.22%
7,LINE,% so,71.53%
7,LINE,hûru,50.48%
7,LINE,Ngày sinh,98.79%
7,LINE,Quoc tich,72.21%
7,LINE,Nghê nghiep/,64.6%
7,LINE,Chúrc vu,86.98%
7,LINE,Diên thoai,85.26%
7,LINE,Só,55.67%
7,LINE,CMND,100.0%
7,LINE,/Hô,87.57%
7,LINE,Ngày,85.85%
7,LINE,chiêu/,56.89%
7,LINE,câp,96.4%
7,LINE,The,95.45%
7,LINE,Noi,99.95%
7,LINE,câp,96.02%
7,LINE,Só,60.49%
7,LINE,Thi,99.33%
7,LINE,thurc,58.96%
7,LINE,Ngày,95.38%
7,LINE,nhâp,97.06%
7,LINE,câp,94.39%
7,LINE,cånh,58.56%
7,LINE,Ngày,92.67%
7,LINE,hêt,96.09%
7,LINE,han,99.89%
7,LINE,Dia chi thuròng,79.83%
7,LINE,trú/ Cu trú o,76.15%
7,LINE,nuóc ngoài,85.31%
7,LINE,Noi ӧ hiên tai,74.92%
